,NAME,percent_uninsured,time,Location,expanded_medicaid,highlight1,highlight2,highlight3,highlight4,highlight5,highlight6
70,Connecticut,10.5,2012,Connecticut,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
71,Connecticut,10.9,2013,Connecticut,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
72,Connecticut,8.0,2014,Connecticut,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
73,Connecticut,6.9,2015,Connecticut,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
74,Connecticut,5.8,2016,Connecticut,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
75,Connecticut,6.3,2017,Connecticut,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
76,Connecticut,6.2,2018,Connecticut,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
77,Delaware,11.7,2008,Delaware,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
78,Delaware,12.0,2009,Delaware,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
79,Delaware,11.6,2010,Delaware,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
80,Delaware,11.2,2011,Delaware,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
81,Delaware,10.3,2012,Delaware,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
82,Delaware,10.9,2013,Delaware,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
83,Delaware,9.3,2014,Delaware,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
84,Delaware,6.9,2015,Delaware,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
85,Delaware,6.7,2016,Delaware,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
86,Delaware,6.1,2017,Delaware,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
87,Delaware,6.800000000000001,2018,Delaware,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
88,District of Columbia,8.6,2008,District of Columbia,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
89,District of Columbia,8.2,2009,District of Columbia,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
90,District of Columbia,9.0,2010,District of Columbia,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
91,District of Columbia,8.3,2011,District of Columbia,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
92,District of Columbia,7.000000000000001,2012,District of Columbia,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
93,District of Columbia,7.5,2013,District of Columbia,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
94,District of Columbia,5.9,2014,District of Columbia,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
95,District of Columbia,4.3,2015,District of Columbia,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
96,District of Columbia,4.1,2016,District of Columbia,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
97,District of Columbia,4.3,2017,District of Columbia,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
98,District of Columbia,3.6000000000000005,2018,District of Columbia,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
99,Florida,24.2,2008,Florida,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
100,Florida,24.9,2009,Florida,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
101,Florida,25.3,2010,Florida,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
102,Florida,24.8,2011,Florida,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
103,Florida,24.1,2012,Florida,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
104,Florida,24.3,2013,Florida,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
105,Florida,20.2,2014,Florida,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
106,Florida,16.3,2015,Florida,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
107,Florida,15.4,2016,Florida,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
108,Florida,16.0,2017,Florida,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
109,Florida,16.1,2018,Florida,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
110,Georgia,20.1,2008,Georgia,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
111,Georgia,21.2,2009,Georgia,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
112,Georgia,21.9,2010,Georgia,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
113,Georgia,21.7,2011,Georgia,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
114,Georgia,20.7,2012,Georgia,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
115,Georgia,21.2,2013,Georgia,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
116,Georgia,18.0,2014,Georgia,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
117,Georgia,15.8,2015,Georgia,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
118,Georgia,14.899999999999999,2016,Georgia,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
119,Georgia,15.5,2017,Georgia,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
120,Georgia,15.9,2018,Georgia,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
121,Hawaii,7.7,2008,Hawaii,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
122,Hawaii,8.2,2009,Hawaii,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
123,Hawaii,8.9,2010,Hawaii,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
124,Hawaii,8.1,2011,Hawaii,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
125,Hawaii,7.8,2012,Hawaii,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
126,Hawaii,7.6,2013,Hawaii,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
127,Hawaii,6.0,2014,Hawaii,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
128,Hawaii,4.8,2015,Hawaii,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
129,Hawaii,4.2,2016,Hawaii,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
130,Hawaii,4.6,2017,Hawaii,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
131,Hawaii,4.7,2018,Hawaii,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
132,Idaho,19.1,2008,Idaho,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
133,Idaho,19.3,2009,Idaho,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
134,Idaho,20.3,2010,Idaho,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
135,Idaho,18.9,2011,Idaho,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
136,Idaho,18.5,2012,Idaho,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
137,Idaho,18.8,2013,Idaho,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
138,Idaho,15.7,2014,Idaho,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
139,Idaho,12.8,2015,Idaho,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
140,Idaho,11.8,2016,Idaho,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
141,Idaho,11.8,2017,Idaho,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
142,Idaho,13.100000000000001,2018,Idaho,No,noHighlight,noHighlight,noHighlight,noHighlight,noHighlight,Highlight
143,Illinois,13.900000000000002,2008,Illinois,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
144,Illinois,15.0,2009,Illinois,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
145,Illinois,15.6,2010,Illinois,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
146,Illinois,14.800000000000002,2011,Illinois,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
147,Illinois,14.6,2012,Illinois,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
148,Illinois,14.6,2013,Illinois,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
149,Illinois,11.2,2014,Illinois,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
150,Illinois,8.2,2015,Illinois,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
151,Illinois,7.5,2016,Illinois,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
152,Illinois,7.9,2017,Illinois,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
153,Illinois,8.1,2018,Illinois,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
154,Indiana,15.1,2008,Indiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
155,Indiana,16.2,2009,Indiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
156,Indiana,17.0,2010,Indiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
157,Indiana,16.6,2011,Indiana,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
