,NAME,STABREV,number_uninsured,percent_uninsured,RACECAT,race_category,time,state,highlight
1069,Idaho,ID,256305,0.188,0,All Races,2013,16,0
1073,Illinois,IL,1588326,0.146,0,All Races,2013,17,0
1077,Indiana,IN,887375,0.161,0,All Races,2013,18,0
1081,Iowa,IA,244164,0.096,0,All Races,2013,19,0
1085,Kansas,KS,341248,0.141,0,All Races,2013,20,0
1089,Kentucky,KY,615363,0.168,0,All Races,2013,21,0
1093,Louisiana,LA,746374,0.191,0,All Races,2013,22,0
1097,Maine,ME,143651,0.135,0,All Races,2013,23,0
1101,Maryland,MD,584728,0.11699999999999999,0,All Races,2013,24,0
1105,Massachusetts,MA,238392,0.043,0,All Races,2013,25,2
1109,Michigan,MI,1059974,0.129,0,All Races,2013,26,0
1113,Minnesota,MN,433829,0.095,0,All Races,2013,27,0
1117,Mississippi,MS,498591,0.2,0,All Races,2013,28,0
1121,Missouri,MO,762811,0.153,0,All Races,2013,29,0
1125,Montana,MT,166184,0.2,0,All Races,2013,30,0
1129,Nebraska,NE,201766,0.129,0,All Races,2013,31,0
1133,Nevada,NV,551933,0.233,0,All Races,2013,32,0
1137,New Hampshire,NH,139569,0.128,0,All Races,2013,33,0
1141,New Jersey,NJ,1125246,0.15,0,All Races,2013,34,0
1145,New Mexico,NM,380445,0.21899999999999997,0,All Races,2013,35,1
1149,New York,NY,2036206,0.124,0,All Races,2013,36,0
1153,North Carolina,NC,1491079,0.18100000000000002,0,All Races,2013,37,0
1157,North Dakota,ND,73944,0.12300000000000001,0,All Races,2013,38,0
1161,Ohio,OH,1248847,0.13,0,All Races,2013,39,0
1165,Oklahoma,OK,659369,0.20600000000000002,0,All Races,2013,40,0
1169,Oregon,OR,560102,0.172,0,All Races,2013,41,0
1173,Pennsylvania,PA,1204620,0.11599999999999999,0,All Races,2013,42,0
1177,Rhode Island,RI,118849,0.139,0,All Races,2013,44,0
1181,South Carolina,SC,729833,0.18600000000000003,0,All Races,2013,45,0
1185,South Dakota,SD,89295,0.128,0,All Races,2013,46,0
1189,Tennessee,TN,878198,0.162,0,All Races,2013,47,0
1193,Texas,TX,5695879,0.248,0,All Races,2013,48,0
1197,Utah,UT,393334,0.153,0,All Races,2013,49,0
1201,Vermont,VT,43638,0.087,0,All Races,2013,50,0
1205,Virginia,VA,971264,0.14,0,All Races,2013,51,0
1209,Washington,WA,940952,0.159,0,All Races,2013,53,0
1213,West Virginia,WV,254261,0.171,0,All Races,2013,54,0
1217,Wisconsin,WI,505462,0.106,0,All Races,2013,55,0
1221,Wyoming,WY,77766,0.158,0,All Races,2013,56,0
1225,Alabama,AL,567439,0.142,0,All Races,2014,01,0
1229,Alaska,AK,123604,0.19,0,All Races,2014,02,0
1233,Arizona,AZ,886514,0.161,0,All Races,2014,04,0
1237,Arkansas,AR,336619,0.138,0,All Races,2014,05,0
1241,California,CA,4655102,0.141,0,All Races,2014,06,0
1245,Colorado,CO,535569,0.11699999999999999,0,All Races,2014,08,0
1249,Connecticut,CT,236861,0.08,0,All Races,2014,09,0
1253,Delaware,DE,70640,0.09300000000000001,0,All Races,2014,10,0
1257,District of Columbia,DC,32799,0.059000000000000004,0,All Races,2014,11,0
1261,Florida,FL,3176171,0.20199999999999999,0,All Races,2014,12,0
1265,Georgia,GA,1549301,0.18,0,All Races,2014,13,0
1269,Hawaii,HI,69936,0.06,0,All Races,2014,15,0
1273,Idaho,ID,216276,0.157,0,All Races,2014,16,0
1277,Illinois,IL,1211871,0.11199999999999999,0,All Races,2014,17,0
1281,Indiana,IN,768504,0.14,0,All Races,2014,18,0
1285,Iowa,IA,185413,0.073,0,All Races,2014,19,0
1289,Kansas,KS,284342,0.11699999999999999,0,All Races,2014,20,0
1293,Kentucky,KY,360275,0.099,0,All Races,2014,21,0
1297,Louisiana,LA,661811,0.16899999999999998,0,All Races,2014,22,0
1301,Maine,ME,131550,0.124,0,All Races,2014,23,0
1305,Maryland,MD,450280,0.08900000000000001,0,All Races,2014,24,0
1309,Massachusetts,MA,208262,0.038,0,All Races,2014,25,2
1313,Michigan,MI,827968,0.10099999999999999,0,All Races,2014,26,0
1317,Minnesota,MN,308991,0.067,0,All Races,2014,27,0
1321,Mississippi,MS,424433,0.171,0,All Races,2014,28,0
1325,Missouri,MO,682388,0.13699999999999998,0,All Races,2014,29,0
1329,Montana,MT,139768,0.168,0,All Races,2014,30,0
1333,Nebraska,NE,173309,0.11,0,All Races,2014,31,0
1337,Nevada,NV,416208,0.17300000000000001,0,All Races,2014,32,0
1341,New Hampshire,NH,118870,0.11,0,All Races,2014,33,0
1345,New Jersey,NJ,940315,0.126,0,All Races,2014,34,0
1349,New Mexico,NM,295204,0.171,0,All Races,2014,35,1
1353,New York,NY,1654986,0.10099999999999999,0,All Races,2014,36,0
1357,North Carolina,NC,1254138,0.152,0,All Races,2014,37,0
1361,North Dakota,ND,57168,0.09300000000000001,0,All Races,2014,38,0
1365,Ohio,OH,947102,0.099,0,All Races,2014,39,0
1369,Oklahoma,OK,576768,0.179,0,All Races,2014,40,0
1373,Oregon,OR,378857,0.11599999999999999,0,All Races,2014,41,0
1377,Pennsylvania,PA,1047882,0.102,0,All Races,2014,42,0
1381,Rhode Island,RI,74089,0.086,0,All Races,2014,44,0
1385,South Carolina,SC,635365,0.161,0,All Races,2014,45,0
1389,South Dakota,SD,81569,0.11599999999999999,0,All Races,2014,46,0
1393,Tennessee,TN,765026,0.141,0,All Races,2014,47,0
1397,Texas,TX,4976322,0.214,0,All Races,2014,48,0
1401,Utah,UT,360274,0.138,0,All Races,2014,49,0
1405,Vermont,VT,30387,0.061,0,All Races,2014,50,0
1409,Virginia,VA,863567,0.124,0,All Races,2014,51,0
1413,Washington,WA,630600,0.106,0,All Races,2014,53,0
1417,West Virginia,WV,156077,0.106,0,All Races,2014,54,0
1421,Wisconsin,WI,407618,0.086,0,All Races,2014,55,0
1425,Wyoming,WY,69582,0.142,0,All Races,2014,56,0
1429,Alabama,AL,475233,0.11900000000000001,0,All Races,2015,01,0
1433,Alaska,AK,105982,0.163,0,All Races,2015,02,0
1437,Arizona,AZ,710610,0.128,0,All Races,2015,04,0
1441,Arkansas,AR,269055,0.111,0,All Races,2015,05,0
1445,California,CA,3234373,0.09699999999999999,0,All Races,2015,06,0
1449,Colorado,CO,428602,0.092,0,All Races,2015,08,0
1453,Connecticut,CT,201842,0.069,0,All Races,2015,09,0
1457,Delaware,DE,52951,0.069,0,All Races,2015,10,0
1461,District of Columbia,DC,24198,0.043,0,All Races,2015,11,0
1465,Florida,FL,2602192,0.163,0,All Races,2015,12,0
1469,Georgia,GA,1366843,0.158,0,All Races,2015,13,0
1473,Hawaii,HI,55299,0.048,0,All Races,2015,15,0
1477,Idaho,ID,177426,0.128,0,All Races,2015,16,0
1481,Illinois,IL,885019,0.08199999999999999,0,All Races,2015,17,0
1485,Indiana,IN,621372,0.113,0,All Races,2015,18,0
1489,Iowa,IA,149178,0.059000000000000004,0,All Races,2015,19,0
1493,Kansas,KS,253816,0.105,0,All Races,2015,20,0
1497,Kentucky,KY,258239,0.071,0,All Races,2015,21,0
1501,Louisiana,LA,538466,0.138,0,All Races,2015,22,0
1505,Maine,ME,108771,0.10300000000000001,0,All Races,2015,23,0
1509,Maryland,MD,374972,0.07400000000000001,0,All Races,2015,24,0
1513,Massachusetts,MA,180139,0.032,0,All Races,2015,25,2
1517,Michigan,MI,590197,0.07200000000000001,0,All Races,2015,26,0
1521,Minnesota,MN,237981,0.052000000000000005,0,All Races,2015,27,0
1525,Mississippi,MS,365919,0.14800000000000002,0,All Races,2015,28,0
1529,Missouri,MO,574373,0.115,0,All Races,2015,29,0
1533,Montana,MT,118357,0.142,0,All Races,2015,30,0
1537,Nebraska,NE,148165,0.094,0,All Races,2015,31,0
1541,Nevada,NV,341952,0.141,0,All Races,2015,32,0
1545,New Hampshire,NH,84026,0.078,0,All Races,2015,33,0
1549,New Jersey,NJ,745867,0.1,0,All Races,2015,34,0
1553,New Mexico,NM,225491,0.131,0,All Races,2015,35,1
1557,New York,NY,1351396,0.08199999999999999,0,All Races,2015,36,0
1561,North Carolina,NC,1080102,0.13,0,All Races,2015,37,0
1565,North Dakota,ND,54797,0.087,0,All Races,2015,38,0
1569,Ohio,OH,735492,0.077,0,All Races,2015,39,0
1573,Oklahoma,OK,522022,0.161,0,All Races,2015,40,0
1577,Oregon,OR,278293,0.084,0,All Races,2015,41,0
1581,Pennsylvania,PA,786343,0.076,0,All Races,2015,42,0
1585,Rhode Island,RI,56939,0.067,0,All Races,2015,44,0
1589,South Carolina,SC,517674,0.13,0,All Races,2015,45,0
1593,South Dakota,SD,82558,0.11800000000000001,0,All Races,2015,46,0
1597,Tennessee,TN,656235,0.12,0,All Races,2015,47,0
1601,Texas,TX,4536765,0.192,0,All Races,2015,48,0
1605,Utah,UT,306968,0.11599999999999999,0,All Races,2015,49,0
1609,Vermont,VT,23229,0.047,0,All Races,2015,50,0
1613,Virginia,VA,722551,0.10400000000000001,0,All Races,2015,51,0
1617,Washington,WA,459596,0.076,0,All Races,2015,53,0
1621,West Virginia,WV,106941,0.073,0,All Races,2015,54,0
1625,Wisconsin,WI,314933,0.066,0,All Races,2015,55,0
1629,Wyoming,WY,65487,0.134,0,All Races,2015,56,0
1633,Alabama,AL,427972,0.10800000000000001,0,All Races,2016,01,0
1637,Alaska,AK,100787,0.155,0,All Races,2016,02,0
1641,Arizona,AZ,669819,0.11900000000000001,0,All Races,2016,04,0
1645,Arkansas,AR,228342,0.094,0,All Races,2016,05,0
1649,California,CA,2787305,0.084,0,All Races,2016,06,0
1653,Colorado,CO,401879,0.086,0,All Races,2016,08,0
1657,Connecticut,CT,168258,0.057999999999999996,0,All Races,2016,09,0
1661,Delaware,DE,51494,0.067,0,All Races,2016,10,0
1665,District of Columbia,DC,23274,0.040999999999999995,0,All Races,2016,11,0
1669,Florida,FL,2478194,0.154,0,All Races,2016,12,0
1673,Georgia,GA,1295994,0.149,0,All Races,2016,13,0
1677,Hawaii,HI,48641,0.042,0,All Races,2016,15,0
1681,Idaho,ID,165164,0.11800000000000001,0,All Races,2016,16,0
1685,Illinois,IL,801267,0.075,0,All Races,2016,17,0
1689,Indiana,IN,518435,0.095,0,All Races,2016,18,0
1693,Iowa,IA,126746,0.05,0,All Races,2016,19,0
1697,Kansas,KS,239482,0.099,0,All Races,2016,20,0
1701,Kentucky,KY,218900,0.06,0,All Races,2016,21,0
1705,Louisiana,LA,460244,0.11800000000000001,0,All Races,2016,22,0
